,district,Republican,Democratic,year,state
0,1,103770,92672,2010,OH
1,2,139027,82431,2010,OH
2,3,152629,71455,2010,OH
3,4,146029,50533,2010,OH
4,5,140703,54919,2010,OH
5,6,103170,92823,2010,OH
6,7,135721,70400,2010,OH
7,8,142731,65883,2010,OH
8,9,83423,121819,2010,OH
9,10,83809,101343,2010,OH
10,11,28754,139693,2010,OH
11,12,150163,110307,2010,OH
12,13,94367,118806,2010,OH
13,14,149878,72604,2010,OH
14,15,119471,91077,2010,OH
15,16,114652,90833,2010,OH
16,17,57352,102758,2010,OH
17,18,107426,80756,2010,OH
